Название продукта,Категория продукта,Подкатегория продукта,Цена продукта,Город,Ссылка на продукт,Статус
Креветки Королевские 26/30 очищенные 1 кг,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-korolevskaya-2630-ochischennaya/,Новинка
Креветка Королевская 16/20 в панцире б/г 1 кг,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-tigrovaya-1620-v-pancire/,Новинка
Креветка Королевская 31/40 очищенная 1 кг/уп,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-korolevskaya-1620-ochischennaya/,Новинка
"Креветка Королевская 21/25, в панцире без головы",МОРЕПРОДУКТЫ,,7 600 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-korolevskaya-2125-v-pancire-bez-golovy/,Нет статуса
"Лангустины в панцире с головой, размер 21-30 уп 2 кг",МОРЕПРОДУКТЫ,,11 490 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/langustiny-v-pancire-s-golovoy-razmery-21-30/,Акция
Креветка Королевская 41/50 бланшированная 1 кг,МОРЕПРОДУКТЫ,,7 800 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-korolevskaya-4150-blanshirovannaya/,Нет статуса
"Лангустины в Панцире с головой, размер 10-20 уп 2 кг",МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/langustiny-v-pancire-s-golovoy-razmer-10-20/,Новинка
"Креветка Северная, 90/120, Гренландия",МОРЕПРОДУКТЫ,,9 200 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-severnaya-90-120-grenlandiya/,Нет статуса
Креветка Тигровая 13/15 с головой,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-tigrovaya-13-15-s-golovoy/,Новинка
Креветка Королевская Premium 31/40 с/м очищ с хвостом 7% глазурь,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-premium-3140-sm-ochishch-s-hvostom-7-glazur/,Новинка
Креветка Premium 16/20 с/м б/г 7% глазурь,МОРЕПРОДУКТЫ,,8 800 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-premium-1620-sm-bg-7-glazur/,Нет статуса
"Креветка салатная очищенная 100/200, глазурь 30%, 1 кг/уп",МОРЕПРОДУКТЫ,,5 990 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-blansh-ochisch-100200-po-10-kgkor/,Нет статуса
"Креветка Королевская Блочная, размер 16/20, 1,8 кг",МОРЕПРОДУКТЫ,,19 500 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-korolevskaya-blochnaya-razmer-16-20/,Нет статуса
Креветка Premium 21/25 с/м б/г 7% глазурь,МОРЕПРОДУКТЫ,,8 500 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-premium-2125-sm-bg-7-glazur/,Нет статуса
Креветка Королевская Premium 26/30 с/м очищ с хвостом 7% глазурь,МОРЕПРОДУКТЫ,,8 800 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-premium-2630-sm-ochishch-s-hvostom-7-glazur/,Нет статуса
Креветка Лангустины с/м без головы 30/55 уп 2 кг,МОРЕПРОДУКТЫ,,16 500 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/langustiny-sm-sg-30-55-up-2-kg/,Нет статуса
"Креветка Королевская Блочная, в панцире 21/25, 1,8 кг",МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-korolevskaya-blochnaya-v-pancire-21-25/,Новинка
Креветка Premium 41/50 бланш очищ с хвостом 7% глазурь,МОРЕПРОДУКТЫ,,8 500 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-premium-4150-blansh-ochishch-s-hvostom-7-glazur/,Нет статуса
Креветка Premium 100/200 бланш очищ 7% глазурь,МОРЕПРОДУКТЫ,,6 900 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-premium-100200-blansh-ochishch-7-glazur/,Нет статуса
"Креветка красная (spot prawns) Канада, размер J 15-19 шт/кг",МОРЕПРОДУКТЫ,,45 990 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-krasnaya-spot-prawns-kanada-razmer-j-15-19-shtkg/,Нет статуса
"Креветка красная (spot prawns) Канада, размер XJ 10-14 шт/кг",МОРЕПРОДУКТЫ,,46 990 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-krasnaya-spot-prawns-kanada-razmer-xj-10-14-shtkg/,Нет статуса
Конечности Камчатского Краба 4L,МОРЕПРОДУКТЫ,,38 000 Т,Алматы,https://kingfisher.kz/moreprodukty/kraby/konechnosti-kamchatskogo-kraba-4l/,Нет статуса
"Мясо краба, 1я фаланга уп. 1 кг",МОРЕПРОДУКТЫ,,49 500 Т,Алматы,https://kingfisher.kz/moreprodukty/kraby/myaso-kraba-1ya-falanga-blok-vesom-1-1-5-kg/,Нет статуса
"Конечности Камчатского Краба 3 L, 900-1400 гр",МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/kraby/konechnosti-kamchatskogo-kraba-3-l/,Новинка
Краб Камчатский Роза (плечо),МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/kraby/krab-kamchatskiy-roza-plecho/,Новинка
Мясо краба в/м блок (салатное мясо),МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/kraby/myaso-kraba-salatnoe-kusochkami/,Новинка
Краб камчатский полуфиле большой клешни 1 кг/уп,МОРЕПРОДУКТЫ,,35 000 Т,Алматы,https://kingfisher.kz/moreprodukty/kraby/krab-kamchatskiy-polufile-bolshoy-kleshni-1-kgup/,Нет статуса
Red Crab Краб 1-я фаланга в заливке 220 гр ст/бан,МОРЕПРОДУКТЫ,,19 000 Т,Алматы,https://kingfisher.kz/moreprodukty/kraby/red-crab-krab-1-ya-falanga-v-zalivke-220-gr-stban/,Нет статуса
Red Crab Краб 1-я фаланга в заливке 500 гр ст/бан,МОРЕПРОДУКТЫ,,40 000 Т,Алматы,https://kingfisher.kz/moreprodukty/kraby/red-crab-krab-1-ya-falanga-v-zalivke-500-gr-stban/,Нет статуса
Kani Крабовое мясо 500гр 8 шт,МОРЕПРОДУКТЫ,,2 500 Т,Алматы,https://kingfisher.kz/moreprodukty/kraby/kani-krabovoe-myaso-500gr-8-sht/,Нет статуса
Устрицы Gillardeau (Жилардо) №2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-gillardeau-2/,Новинка
Устрицы Fine de Claire Marine (Марине) # 2,МОРЕПРОДУКТЫ,,1 590 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-fin-de-claire-2/,Акция
Устрицы Fine de Claire Celine (Селин) # 2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-fine-de-claire-selection-marine-3/,Новинка
Устрицы Ostra Regal #2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-ostra-regal-2/,Новинка
Устрицы Tarbouriech №2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-tarbouriech/,Новинка
Корзина устриц Жилардо/Gillardeau №2 48 шт,МОРЕПРОДУКТЫ,,144 000 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/korzina-ustric-zhilardogillardeau-2-48-sht/,Нет статуса
Корзина устриц Жилардо/Gillardeau №2 24шт,МОРЕПРОДУКТЫ,,72 000 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/korzina-ustric-zhilardogillardeau-2-24sht/,Нет статуса
Устрицы De Cancale (Канкаль) # 2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-de-cancale-de-kankal/,Новинка
Устрицы Normandie (Норманди) #2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-normandie-normandi-2/,Акция Новинка
Устрицы La Belle №2,МОРЕПРОДУКТЫ,,2 200 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-la-belle-2/,Нет статуса
Устрицы №2 Царская,МОРЕПРОДУКТЫ,,3 000 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-2-carskaya/,Нет статуса
Нож устричный KingFisher,МОРЕПРОДУКТЫ,,4 800 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/nozh-ustrichniy-kingfisher/,Нет статуса
Устрицы Utah Beach (Ута Бич) №2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-utah-beach-uta-bich-2/,Новинка
Устрицы Josephine (Жозефин) #2,МОРЕПРОДУКТЫ,,3 000 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-josephine-zhozefin-2/,Нет статуса
Устрицы Krystale (Кристал) №2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-krystale-kristal-2/,Новинка
Устрицы St Vaast (Сэн Васт) # 2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-st-vaast-sen-vast-2/,Новинка
Устрицы Хасаку Муроцу #3,МОРЕПРОДУКТЫ,,2 500 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-hasaku-murocu-3/,Нет статуса
Устрицы Bretagne (Бретань) # 2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-bretagne-bretan-2/,Акция Новинка
Устрицы Мадока Хиросима #3,МОРЕПРОДУКТЫ,,2 500 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-madoka-hirosima/,Нет статуса
